
2024/07/10 (17:10:54) | ===> btop++ v.1.3.0
2024/07/10 (17:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (17:10:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (18:28:05) | ===> btop++ v.1.3.0
2024/07/10 (18:28:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (18:28:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (18:29:42) | ===> btop++ v.1.3.0
2024/07/10 (18:29:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (18:29:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (18:34:52) | ===> btop++ v.1.3.0
2024/07/10 (18:34:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (18:34:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (19:05:28) | ===> btop++ v.1.3.0
2024/07/10 (19:05:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (19:05:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (21:38:40) | ===> btop++ v.1.3.0
2024/07/10 (21:38:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (21:38:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (00:24:44) | ===> btop++ v.1.3.0
2024/07/11 (00:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (00:24:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (10:25:52) | ===> btop++ v.1.3.0
2024/07/11 (10:25:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (10:25:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (11:47:13) | ===> btop++ v.1.3.0
2024/07/11 (11:47:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (11:47:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (11:48:21) | ===> btop++ v.1.3.0
2024/07/11 (11:48:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (11:48:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (11:49:06) | ===> btop++ v.1.3.0
2024/07/11 (11:49:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (11:49:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (11:49:10) | ===> btop++ v.1.3.0
2024/07/11 (11:49:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (11:49:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (11:50:06) | ===> btop++ v.1.3.0
2024/07/11 (11:50:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (11:50:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (18:04:46) | ===> btop++ v.1.3.0
2024/07/11 (18:04:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (18:04:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (18:04:51) | ===> btop++ v.1.3.0
2024/07/11 (18:04:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (18:04:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (21:48:42) | ===> btop++ v.1.3.0
2024/07/11 (21:48:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (21:48:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (21:48:49) | ===> btop++ v.1.3.0
2024/07/11 (21:48:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (21:48:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/12 (11:16:46) | ===> btop++ v.1.3.0
2024/07/12 (11:16:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/12 (11:16:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/12 (11:16:50) | ===> btop++ v.1.3.0
2024/07/12 (11:16:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/12 (11:16:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (10:34:29) | ===> btop++ v.1.3.0
